행정구역,연령구분,합계
___갈산동(경기안양동안),60세~64세,710 
___갈산동(경기안양동안),65세이상,1324 
___갈산동(경기안양동안),합계,11811 
_부천시(경기),0세~9세,70745 
_부천시(경기),10세~19세,87291 
_부천시(경기),20세~29세,126300 
_부천시(경기),30세~39세,131986 
_부천시(경기),40세~49세,144794 
_부천시(경기),50세~59세,153297 
_부천시(경기),60세~64세,50749 
_부천시(경기),65세이상,86218 
_부천시(경기),합계,851380 
___심곡2동(경기부천),0세~9세,1002 
___심곡2동(경기부천),10세~19세,1103 
___심곡2동(경기부천),20세~29세,3382 
___심곡2동(경기부천),30세~39세,3870 
___심곡2동(경기부천),40세~49세,3137 
___심곡2동(경기부천),50세~59세,3088 
___심곡2동(경기부천),60세~64세,1145 
___심곡2동(경기부천),65세이상,2099 
___심곡2동(경기부천),합계,18826 
___심곡1동(경기부천),0세~9세,790 
___심곡1동(경기부천),10세~19세,1059 
___심곡1동(경기부천),20세~29세,2158 
___심곡1동(경기부천),30세~39세,2431 
___심곡1동(경기부천),40세~49세,2224 
___심곡1동(경기부천),50세~59세,2546 
___심곡1동(경기부천),60세~64세,927 
___심곡1동(경기부천),65세이상,1618 
___심곡1동(경기부천),합계,13753 
___심곡3동(경기부천),0세~9세,866 
___심곡3동(경기부천),10세~19세,1307 
___심곡3동(경기부천),20세~29세,2224 
___심곡3동(경기부천),30세~39세,2046 
___심곡3동(경기부천),40세~49세,2348 
___심곡3동(경기부천),50세~59세,2748 
___심곡3동(경기부천),60세~64세,870 
___심곡3동(경기부천),65세이상,1406 
___심곡3동(경기부천),합계,13815 
___원미2동(경기부천),0세~9세,874 
___원미2동(경기부천),10세~19세,1200 
___원미2동(경기부천),20세~29세,2025 
___원미2동(경기부천),30세~39세,1902 
___원미2동(경기부천),40세~49세,2264 
___원미2동(경기부천),50세~59세,2823 
___원미2동(경기부천),60세~64세,1074 
___원미2동(경기부천),65세이상,1808 
___원미2동(경기부천),합계,13970 
___소사동(경기부천),0세~9세,531 
___소사동(경기부천),10세~19세,547 
___소사동(경기부천),20세~29세,1233 
___소사동(경기부천),30세~39세,1477 
___소사동(경기부천),40세~49세,1371 
___소사동(경기부천),50세~59세,1766 
___소사동(경기부천),60세~64세,799 
___소사동(경기부천),65세이상,1586 
___소사동(경기부천),합계,9310 
___원미1동(경기부천),0세~9세,1291 
___원미1동(경기부천),10세~19세,1809 
___원미1동(경기부천),20세~29세,2673 
___원미1동(경기부천),30세~39세,2567 
___원미1동(경기부천),40세~49세,3058 
___원미1동(경기부천),50세~59세,3473 
___원미1동(경기부천),60세~64세,1225 
___원미1동(경기부천),65세이상,1946 
___원미1동(경기부천),합계,18042 
___역곡1동(경기부천),0세~9세,1887 
___역곡1동(경기부천),10세~19세,1816 
___역곡1동(경기부천),20세~29세,2534 
___역곡1동(경기부천),30세~39세,3375 
___역곡1동(경기부천),40세~49세,3240 
___역곡1동(경기부천),50세~59세,3213 
___역곡1동(경기부천),60세~64세,1297 
___역곡1동(경기부천),65세이상,2374 
___역곡1동(경기부천),합계,19736 
___역곡2동(경기부천),0세~9세,1820 
___역곡2동(경기부천),10세~19세,1692 
___역곡2동(경기부천),20세~29세,3082 
___역곡2동(경기부천),30세~39세,3677 
___역곡2동(경기부천),40세~49세,3287 
___역곡2동(경기부천),50세~59세,3269 
___역곡2동(경기부천),60세~64세,1270 
___역곡2동(경기부천),65세이상,2320 
___역곡2동(경기부천),합계,20417 
___춘의동(경기부천),0세~9세,1089 
___춘의동(경기부천),10세~19세,1217 
___춘의동(경기부천),20세~29세,2195 
___춘의동(경기부천),30세~39세,2560 
___춘의동(경기부천),40세~49세,2250 
___춘의동(경기부천),50세~59세,2866 
___춘의동(경기부천),60세~64세,986 
___춘의동(경기부천),65세이상,1790 
___춘의동(경기부천),합계,14953 
___도당동(경기부천),0세~9세,1741 
___도당동(경기부천),10세~19세,2792 
___도당동(경기부천),20세~29세,3799 
___도당동(경기부천),30세~39세,3274 
___도당동(경기부천),40세~49세,4548 
___도당동(경기부천),50세~59세,4837 
___도당동(경기부천),60세~64세,1314 
___도당동(경기부천),65세이상,2284 
___도당동(경기부천),합계,24589 
___중동(경기부천),0세~9세,2247 
___중동(경기부천),10세~19세,2650 
___중동(경기부천),20세~29세,3837 
___중동(경기부천),30세~39세,3571 
___중동(경기부천),40세~49세,4385 
___중동(경기부천),50세~59세,4670 
___중동(경기부천),60세~64세,1479 
___중동(경기부천),65세이상,2295 
___중동(경기부천),합계,25134 
___상동(경기부천),0세~9세,1356 
___상동(경기부천),10세~19세,2143 
___상동(경기부천),20세~29세,3384 
___상동(경기부천),30세~39세,2678 
___상동(경기부천),40세~49세,3209 
___상동(경기부천),50세~59세,4052 
___상동(경기부천),60세~64세,1331 
___상동(경기부천),65세이상,2280 
___상동(경기부천),합계,20433 
___상1동(경기부천),0세~9세,2842 
___상1동(경기부천),10세~19세,2636 
___상1동(경기부천),20세~29세,3516 
___상1동(경기부천),30세~39세,4957 
___상1동(경기부천),40세~49세,4539 
___상1동(경기부천),50세~59세,4055 
___상1동(경기부천),60세~64세,1429 
___상1동(경기부천),65세이상,2000 
___상1동(경기부천),합계,25974 
___중4동(경기부천),0세~9세,1869 
___중4동(경기부천),10세~19세,2113 
___중4동(경기부천),20세~29세,3050 
___중4동(경기부천),30세~39세,3861 
___중4동(경기부천),40세~49세,3352 
___중4동(경기부천),50세~59세,3466 
___중4동(경기부천),60세~64세,1060 
___중4동(경기부천),65세이상,1846 
___중4동(경기부천),합계,20617 
___약대동(경기부천),0세~9세,1880 
___약대동(경기부천),10세~19세,1833 
___약대동(경기부천),20세~29세,2967 
___약대동(경기부천),30세~39세,3317 
___약대동(경기부천),40세~49세,3078 
___약대동(경기부천),50세~59세,3524 
___약대동(경기부천),60세~64세,1040 
___약대동(경기부천),65세이상,1422 
___약대동(경기부천),합계,19061 
___중1동(경기부천),0세~9세,3049 
___중1동(경기부천),10세~19세,3717 
___중1동(경기부천),20세~29세,5769 
___중1동(경기부천),30세~39세,6177 
___중1동(경기부천),40세~49세,6253 
___중1동(경기부천),50세~59세,6005 
___중1동(경기부천),60세~64세,1727 
___중1동(경기부천),65세이상,2321 
___중1동(경기부천),합계,35018 
___중2동(경기부천),0세~9세,2787 
___중2동(경기부천),10세~19세,3737 
___중2동(경기부천),20세~29세,5432 
___중2동(경기부천),30세~39세,4932 
___중2동(경기부천),40세~49세,5374 
___중2동(경기부천),50세~59세,6274 
___중2동(경기부천),60세~64세,2009 
___중2동(경기부천),65세이상,2800 
___중2동(경기부천),합계,33345 
___중3동(경기부천),0세~9세,2416 
___중3동(경기부천),10세~19세,2668 
___중3동(경기부천),20세~29세,3903 
___중3동(경기부천),30세~39세,4511 
___중3동(경기부천),40세~49세,4038 
___중3동(경기부천),50세~59세,4607 
___중3동(경기부천),60세~64세,1357 
___중3동(경기부천),65세이상,2457 
___중3동(경기부천),합계,25957 
___상2동(경기부천),0세~9세,3981 
___상2동(경기부천),10세~19세,4485 
___상2동(경기부천),20세~29세,4365 
___상2동(경기부천),30세~39세,5326 
___상2동(경기부천),40세~49세,6129 
___상2동(경기부천),50세~59세,4982 
___상2동(경기부천),60세~64세,1155 
___상2동(경기부천),65세이상,1732 
___상2동(경기부천),합계,32155 
___상3동(경기부천),0세~9세,3353 
___상3동(경기부천),10세~19세,5054 
___상3동(경기부천),20세~29세,5085 
___상3동(경기부천),30세~39세,4114 
___상3동(경기부천),40세~49세,6872 
___상3동(경기부천),50세~59세,5999 
___상3동(경기부천),60세~64세,1267 
___상3동(경기부천),65세이상,1741 
___상3동(경기부천),합계,33485 
___심곡본동(경기부천),0세~9세,1226 
___심곡본동(경기부천),10세~19세,1408 
___심곡본동(경기부천),20세~29세,2551 
___심곡본동(경기부천),30세~39세,2893 
___심곡본동(경기부천),40세~49세,2972 
___심곡본동(경기부천),50세~59세,3231 
___심곡본동(경기부천),60세~64세,1397 
___심곡본동(경기부천),65세이상,2672 
___심곡본동(경기부천),합계,18350 
___심곡본1동(경기부천),0세~9세,1082 
___심곡본1동(경기부천),10세~19세,1536 
___심곡본1동(경기부천),20세~29세,2825 
___심곡본1동(경기부천),30세~39세,2925 
___심곡본1동(경기부천),40세~49세,3017 
___심곡본1동(경기부천),50세~59세,3585 
___심곡본1동(경기부천),60세~64세,1350 
___심곡본1동(경기부천),65세이상,2486 
___심곡본1동(경기부천),합계,18806 
___송내1동(경기부천),0세~9세,1952 
___송내1동(경기부천),10세~19세,2154 
___송내1동(경기부천),20세~29세,3660 
___송내1동(경기부천),30세~39세,3888 
___송내1동(경기부천),40세~49세,3718 
___송내1동(경기부천),50세~59세,4371 
___송내1동(경기부천),60세~64세,1663 
___송내1동(경기부천),65세이상,2568 
___송내1동(경기부천),합계,23974 
___송내2동(경기부천),0세~9세,2549 
___송내2동(경기부천),10세~19세,2955 
___송내2동(경기부천),20세~29세,4138 
___송내2동(경기부천),30세~39세,4412 
___송내2동(경기부천),40세~49세,4801 
___송내2동(경기부천),50세~59세,4933 
___송내2동(경기부천),60세~64세,1649 
___송내2동(경기부천),65세이상,2819 
___송내2동(경기부천),합계,28256 
___소사본동(경기부천),0세~9세,1624 
___소사본동(경기부천),10세~19세,1900 
___소사본동(경기부천),20세~29세,3679 
___소사본동(경기부천),30세~39세,3720 
___소사본동(경기부천),40세~49세,3671 
___소사본동(경기부천),50세~59세,4805 
___소사본동(경기부천),60세~64세,1931 
___소사본동(경기부천),65세이상,3468 
___소사본동(경기부천),합계,24798 
___소사본3동(경기부천),0세~9세,2850 
___소사본3동(경기부천),10세~19세,3622 
___소사본3동(경기부천),20세~29세,4825 
___소사본3동(경기부천),30세~39세,4755 
___소사본3동(경기부천),40세~49세,5319 
___소사본3동(경기부천),50세~59세,6270 
___소사본3동(경기부천),60세~64세,2236 
___소사본3동(경기부천),65세이상,3369 
___소사본3동(경기부천),합계,33246 
___괴안동(경기부천),0세~9세,1728 
___괴안동(경기부천),10세~19세,2295 
___괴안동(경기부천),20세~29세,3237 
___괴안동(경기부천),30세~39세,3239 
___괴안동(경기부천),40세~49세,3714 
___괴안동(경기부천),50세~59세,3909 
___괴안동(경기부천),60세~64세,1360 
___괴안동(경기부천),65세이상,2618 
___괴안동(경기부천),합계,22100 
___범박동(경기부천),0세~9세,4556 
___범박동(경기부천),10세~19세,3826 
___범박동(경기부천),20세~29세,3930 
___범박동(경기부천),30세~39세,6020 
___범박동(경기부천),40세~49세,5797 
___범박동(경기부천),50세~59세,4965 
___범박동(경기부천),60세~64세,1878 
___범박동(경기부천),65세이상,3064 
___범박동(경기부천),합계,34036 
___역곡3동(경기부천),0세~9세,1982 
___역곡3동(경기부천),10세~19세,2178 
___역곡3동(경기부천),20세~29세,3638 
___역곡3동(경기부천),30세~39세,4368 
___역곡3동(경기부천),40세~49세,4060 
___역곡3동(경기부천),50세~59세,4403 
___역곡3동(경기부천),60세~64세,1675 
___역곡3동(경기부천),65세이상,3458 
___역곡3동(경기부천),합계,25762 
___성곡동(경기부천),0세~9세,3304 
___성곡동(경기부천),10세~19세,5228 
___성곡동(경기부천),20세~29세,6555 
___성곡동(경기부천),30세~39세,5658 
___성곡동(경기부천),40세~49세,8007 
___성곡동(경기부천),50세~59세,8501 
___성곡동(경기부천),60세~64세,2572 
___성곡동(경기부천),65세이상,4670 
___성곡동(경기부천),합계,44495 
___고강본동(경기부천),0세~9세,2055 
___고강본동(경기부천),10세~19세,3425 
___고강본동(경기부천),20세~29세,4201 
___고강본동(경기부천),30세~39세,4188 
___고강본동(경기부천),40세~49세,5658 
___고강본동(경기부천),50세~59세,5466 
___고강본동(경기부천),60세~64세,1899 
___고강본동(경기부천),65세이상,3804 
___고강본동(경기부천),합계,30696 
___고강1동(경기부천),0세~9세,1120 
___고강1동(경기부천),10세~19세,1677 
___고강1동(경기부천),20세~29세,2509 
___고강1동(경기부천),30세~39세,2147 
___고강1동(경기부천),40세~49세,2980 
___고강1동(경기부천),50세~59세,3120 
___고강1동(경기부천),60세~64세,972 
___고강1동(경기부천),65세이상,1864 
___고강1동(경기부천),합계,16389 
___오정동(경기부천),0세~9세,2232 
___오정동(경기부천),10세~19세,2286 
___오정동(경기부천),20세~29세,3380 
___오정동(경기부천),30세~39세,3836 
___오정동(경기부천),40세~49세,3911 
___오정동(경기부천),50세~59세,4202 
___오정동(경기부천),60세~64세,1457 
___오정동(경기부천),65세이상,2175 
___오정동(경기부천),합계,23479 
___원종1동(경기부천),0세~9세,1724 
___원종1동(경기부천),10세~19세,2488 
___원종1동(경기부천),20세~29세,3706 
___원종1동(경기부천),30세~39세,3253 
___원종1동(경기부천),40세~49세,4161 
___원종1동(경기부천),50세~59세,4648 
___원종1동(경기부천),60세~64세,1511 
___원종1동(경기부천),65세이상,2698 
___원종1동(경기부천),합계,24189 
___원종2동(경기부천),0세~9세,1835 
___원종2동(경기부천),10세~19세,2939 
___원종2동(경기부천),20세~29세,3842 
___원종2동(경기부천),30세~39세,3257 
___원종2동(경기부천),40세~49세,4611 
___원종2동(경기부천),50세~59세,4552 
___원종2동(경기부천),60세~64세,1180 
___원종2동(경기부천),65세이상,2397 
___원종2동(경기부천),합계,24613 
___신흥동(경기부천),0세~9세,1255 
___신흥동(경기부천),10세~19세,1796 
___신흥동(경기부천),20세~29세,3011 
___신흥동(경기부천),30세~39세,2804 
___신흥동(경기부천),40세~49세,3441 
___신흥동(경기부천),50세~59세,4073 
___신흥동(경기부천),60세~64세,1258 
___신흥동(경기부천),65세이상,1963 
___신흥동(경기부천),합계,19601 
_광명시(경기),0세~9세,32762 
_광명시(경기),10세~19세,38030 
_광명시(경기),20세~29세,43374 
_광명시(경기),30세~39세,53942 
_광명시(경기),40세~49세,61437 
_광명시(경기),50세~59세,53681 
_광명시(경기),60세~64세,19709 
_광명시(경기),65세이상,36549 
_광명시(경기),합계,339484 
___광명1동(경기광명),0세~9세,943 
___광명1동(경기광명),10세~19세,1432 
___광명1동(경기광명),20세~29세,2062 
___광명1동(경기광명),30세~39세,2126 
___광명1동(경기광명),40세~49세,2364 
___광명1동(경기광명),50세~59세,2451 
___광명1동(경기광명),60세~64세,972 
___광명1동(경기광명),65세이상,2036 
___광명1동(경기광명),합계,14386 
___광명2동(경기광명),0세~9세,660 
___광명2동(경기광명),10세~19세,1009 
___광명2동(경기광명),20세~29세,1559 
___광명2동(경기광명),30세~39세,1628 
___광명2동(경기광명),40세~49세,1803 
___광명2동(경기광명),50세~59세,2054 
___광명2동(경기광명),60세~64세,845 
___광명2동(경기광명),65세이상,1679 
___광명2동(경기광명),합계,11237 
___광명3동(경기광명),0세~9세,554 
___광명3동(경기광명),10세~19세,791 
___광명3동(경기광명),20세~29세,1471 
___광명3동(경기광명),30세~39세,1571 
___광명3동(경기광명),40세~49세,1639 
___광명3동(경기광명),50세~59세,1924 
___광명3동(경기광명),60세~64세,784 
___광명3동(경기광명),65세이상,1612 
___광명3동(경기광명),합계,10346 
___광명4동(경기광명),0세~9세,1041 
___광명4동(경기광명),10세~19세,1169 
___광명4동(경기광명),20세~29세,2162 
___광명4동(경기광명),30세~39세,2550 
___광명4동(경기광명),40세~49세,2333 
___광명4동(경기광명),50세~59세,2610 
___광명4동(경기광명),60세~64세,1139 
___광명4동(경기광명),65세이상,2141 
___광명4동(경기광명),합계,15145 
___광명5동(경기광명),0세~9세,1357 
___광명5동(경기광명),10세~19세,1614 
___광명5동(경기광명),20세~29세,1884 
___광명5동(경기광명),30세~39세,2589 
___광명5동(경기광명),40세~49세,2762 
___광명5동(경기광명),50세~59세,2517 
___광명5동(경기광명),60세~64세,1011 
___광명5동(경기광명),65세이상,1999 
___광명5동(경기광명),합계,15733 
___광명6동(경기광명),0세~9세,1475 
___광명6동(경기광명),10세~19세,1580 
___광명6동(경기광명),20세~29세,2032 
___광명6동(경기광명),30세~39세,2398 
___광명6동(경기광명),40세~49세,2655 
___광명6동(경기광명),50세~59세,2627 
___광명6동(경기광명),60세~64세,967 
___광명6동(경기광명),65세이상,1782 
___광명6동(경기광명),합계,15516 
___광명7동(경기광명),0세~9세,1771 
___광명7동(경기광명),10세~19세,2529 
___광명7동(경기광명),20세~29세,3456 
___광명7동(경기광명),30세~39세,3610 
___광명7동(경기광명),40세~49세,3909 
___광명7동(경기광명),50세~59세,4206 
___광명7동(경기광명),60세~64세,1627 
___광명7동(경기광명),65세이상,2987 
___광명7동(경기광명),합계,24095 
___철산1동(경기광명),0세~9세,1517 
___철산1동(경기광명),10세~19세,1818 
___철산1동(경기광명),20세~29세,1773 
___철산1동(경기광명),30세~39세,2196 
___철산1동(경기광명),40세~49세,2762 
___철산1동(경기광명),50세~59세,2098 
___철산1동(경기광명),60세~64세,679 
___철산1동(경기광명),65세이상,1136 
___철산1동(경기광명),합계,13979 
___철산2동(경기광명),0세~9세,1037 
___철산2동(경기광명),10세~19세,1658 
___철산2동(경기광명),20세~29세,2587 
___철산2동(경기광명),30세~39세,2653 
___철산2동(경기광명),40세~49세,2817 
___철산2동(경기광명),50세~59세,3066 
___철산2동(경기광명),60세~64세,1000 
___철산2동(경기광명),65세이상,1692 
___철산2동(경기광명),합계,16510 
___철산3동(경기광명),0세~9세,3987 
___철산3동(경기광명),10세~19세,5027 
___철산3동(경기광명),20세~29세,4971 
___철산3동(경기광명),30세~39세,5489 
___철산3동(경기광명),40세~49세,7232 
___철산3동(경기광명),50세~59세,5962 
___철산3동(경기광명),60세~64세,1969 
___철산3동(경기광명),65세이상,3167 
___철산3동(경기광명),합계,37804 
___철산4동(경기광명),0세~9세,1521 
___철산4동(경기광명),10세~19세,1433 
___철산4동(경기광명),20세~29세,1908 
___철산4동(경기광명),30세~39세,2875 
___철산4동(경기광명),40세~49세,2620 
___철산4동(경기광명),50세~59세,2132 
___철산4동(경기광명),60세~64세,842 
___철산4동(경기광명),65세이상,1439 
___철산4동(경기광명),합계,14770 
___하안1동(경기광명),0세~9세,3440 
___하안1동(경기광명),10세~19세,3507 
___하안1동(경기광명),20세~29세,3279 
___하안1동(경기광명),30세~39세,4198 
___하안1동(경기광명),40세~49세,5529 
___하안1동(경기광명),50세~59세,4338 
___하안1동(경기광명),60세~64세,1383 
___하안1동(경기광명),65세이상,2388 
___하안1동(경기광명),합계,28062 
___하안2동(경기광명),0세~9세,1710 
___하안2동(경기광명),10세~19세,1659 
___하안2동(경기광명),20세~29세,1756 
___하안2동(경기광명),30세~39세,3415 
___하안2동(경기광명),40세~49세,3049 
___하안2동(경기광명),50세~59세,1992 
___하안2동(경기광명),60세~64세,743 
___하안2동(경기광명),65세이상,1607 
___하안2동(경기광명),합계,15931 
___하안3동(경기광명),0세~9세,2384 
___하안3동(경기광명),10세~19세,2579 
___하안3동(경기광명),20세~29세,2597 
___하안3동(경기광명),30세~39세,3957 
___하안3동(경기광명),40세~49세,4281 
___하안3동(경기광명),50세~59세,3232 
___하안3동(경기광명),60세~64세,1264 
___하안3동(경기광명),65세이상,2785 
___하안3동(경기광명),합계,23079 
___하안4동(경기광명),0세~9세,1651 
___하안4동(경기광명),10세~19세,2059 
___하안4동(경기광명),20세~29세,1584 
___하안4동(경기광명),30세~39세,2480 
___하안4동(경기광명),40세~49세,3078 
___하안4동(경기광명),50세~59세,1825 
___하안4동(경기광명),60세~64세,517 
___하안4동(경기광명),65세이상,965 
___하안4동(경기광명),합계,14159 
___소하1동(경기광명),0세~9세,4122 
___소하1동(경기광명),10세~19세,4297 
___소하1동(경기광명),20세~29세,3625 
___소하1동(경기광명),30세~39세,4737 
___소하1동(경기광명),40세~49세,6412 
___소하1동(경기광명),50세~59세,4777 
___소하1동(경기광명),60세~64세,1759 
___소하1동(경기광명),65세이상,2850 
___소하1동(경기광명),합계,32579 
___소하2동(경기광명),0세~9세,3499 
___소하2동(경기광명),10세~19세,3721 
___소하2동(경기광명),20세~29세,4422 
___소하2동(경기광명),30세~39세,5195 
___소하2동(경기광명),40세~49세,5912 
___소하2동(경기광명),50세~59세,5328 
___소하2동(경기광명),60세~64세,1947 
___소하2동(경기광명),65세이상,3702 
___소하2동(경기광명),합계,33726 
___학온동(경기광명),0세~9세,93 
___학온동(경기광명),10세~19세,148 
___학온동(경기광명),20세~29세,246 
___학온동(경기광명),30세~39세,275 
___학온동(경기광명),40세~49세,280 
___학온동(경기광명),50세~59세,542 
___학온동(경기광명),60세~64세,261 
___학온동(경기광명),65세이상,582 
___학온동(경기광명),합계,2427 
_평택시(경기),0세~9세,47972 
_평택시(경기),10세~19세,54052 
_평택시(경기),20세~29세,60850 
_평택시(경기),30세~39세,73195 
_평택시(경기),40세~49세,85492 
_평택시(경기),50세~59세,72777 
_평택시(경기),60세~64세,23404 
_평택시(경기),65세이상,53090 
_평택시(경기),합계,470832 
___팽성읍(경기평택),0세~9세,2071 
___팽성읍(경기평택),10세~19세,2166 
___팽성읍(경기평택),20세~29세,3178 
___팽성읍(경기평택),30세~39세,3662 
___팽성읍(경기평택),40세~49세,4647 
___팽성읍(경기평택),50세~59세,5479 
___팽성읍(경기평택),60세~64세,2186 
___팽성읍(경기평택),65세이상,5686 
___팽성읍(경기평택),합계,29075 
___안중읍(경기평택),0세~9세,4980 
___안중읍(경기평택),10세~19세,6389 
___안중읍(경기평택),20세~29세,4556 
___안중읍(경기평택),30세~39세,6203 
___안중읍(경기평택),40세~49세,8713 
___안중읍(경기평택),50세~59세,5180 
___안중읍(경기평택),60세~64세,1526 
___안중읍(경기평택),65세이상,3635 
___안중읍(경기평택),합계,41182 
___포승읍(경기평택),0세~9세,3013 
___포승읍(경기평택),10세~19세,2323 
___포승읍(경기평택),20세~29세,3250 
___포승읍(경기평택),30세~39세,5250 
___포승읍(경기평택),40세~49세,4806 
___포승읍(경기평택),50세~59세,3643 
___포승읍(경기평택),60세~64세,1239 
___포승읍(경기평택),65세이상,2625 
___포승읍(경기평택),합계,26149 
___청북읍(경기평택),0세~9세,4695 
___청북읍(경기평택),10세~19세,2282 
___청북읍(경기평택),20세~29세,2120 
___청북읍(경기평택),30세~39세,6106 
___청북읍(경기평택),40세~49세,3884 
___청북읍(경기평택),50세~59세,2607 
___청북읍(경기평택),60세~64세,992 
___청북읍(경기평택),65세이상,2217 
___청북읍(경기평택),합계,24903 
___진위면(경기평택),0세~9세,910 
___진위면(경기평택),10세~19세,1082 
___진위면(경기평택),20세~29세,1707 
___진위면(경기평택),30세~39세,1812 
___진위면(경기평택),40세~49세,2001 
___진위면(경기평택),50세~59세,2203 
___진위면(경기평택),60세~64세,859 
___진위면(경기평택),65세이상,1996 
___진위면(경기평택),합계,12570 
___서탄면(경기평택),0세~9세,217 
___서탄면(경기평택),10세~19세,278 
___서탄면(경기평택),20세~29세,458 
___서탄면(경기평택),30세~39세,507 
___서탄면(경기평택),40세~49세,558 
___서탄면(경기평택),50세~59세,812 
___서탄면(경기평택),60세~64세,363 
___서탄면(경기평택),65세이상,948 
___서탄면(경기평택),합계,4141 
___고덕면(경기평택),0세~9세,1206 
___고덕면(경기평택),10세~19세,1126 
___고덕면(경기평택),20세~29세,1447 
___고덕면(경기평택),30세~39세,1711 
___고덕면(경기평택),40세~49세,1906 
___고덕면(경기평택),50세~59세,1874 
___고덕면(경기평택),60세~64세,679 
___고덕면(경기평택),65세이상,1689 
___고덕면(경기평택),합계,11638 
___오성면(경기평택),0세~9세,460 
___오성면(경기평택),10세~19세,651 
___오성면(경기평택),20세~29세,833 
___오성면(경기평택),30세~39세,731 
___오성면(경기평택),40세~49세,1041 
___오성면(경기평택),50세~59세,1409 
___오성면(경기평택),60세~64세,536 
___오성면(경기평택),65세이상,1525 
___오성면(경기평택),합계,7186 
___현덕면(경기평택),0세~9세,273 
___현덕면(경기평택),10세~19세,434 
___현덕면(경기평택),20세~29세,583 
___현덕면(경기평택),30세~39세,601 
___현덕면(경기평택),40세~49세,788 
___현덕면(경기평택),50세~59세,1148 
___현덕면(경기평택),60세~64세,595 
___현덕면(경기평택),65세이상,1669 
___현덕면(경기평택),합계,6091 
___중앙동(경기평택),0세~9세,4634 
___중앙동(경기평택),10세~19세,6536 
___중앙동(경기평택),20세~29세,6250 
___중앙동(경기평택),30세~39세,6195 
___중앙동(경기평택),40세~49세,9091 
___중앙동(경기평택),50세~59세,7218 
___중앙동(경기평택),60세~64세,1952 
___중앙동(경기평택),65세이상,4178 
___중앙동(경기평택),합계,46054 
___서정동(경기평택),0세~9세,2378 
___서정동(경기평택),10세~19세,3358 
___서정동(경기평택),20세~29세,4523 
___서정동(경기평택),30세~39세,4341 
___서정동(경기평택),40세~49세,5495 
___서정동(경기평택),50세~59세,5156 
___서정동(경기평택),60세~64세,1633 
___서정동(경기평택),65세이상,3618 
___서정동(경기평택),합계,30502 
___송탄동(경기평택),0세~9세,2088 
___송탄동(경기평택),10세~19세,1790 
___송탄동(경기평택),20세~29세,1774 
___송탄동(경기평택),30세~39세,2670 
___송탄동(경기평택),40세~49세,3045 
___송탄동(경기평택),50세~59세,2420 
___송탄동(경기평택),60세~64세,630 
___송탄동(경기평택),65세이상,1350 
___송탄동(경기평택),합계,15767 
___지산동(경기평택),0세~9세,947 
___지산동(경기평택),10세~19세,1102 
___지산동(경기평택),20세~29세,1861 
___지산동(경기평택),30세~39세,2066 
___지산동(경기평택),40세~49세,1981 
___지산동(경기평택),50세~59세,1580 
___지산동(경기평택),60세~64세,547 
___지산동(경기평택),65세이상,1242 
___지산동(경기평택),합계,11326 
___송북동(경기평택),0세~9세,2179 
___송북동(경기평택),10세~19세,2634 
___송북동(경기평택),20세~29세,3201 
___송북동(경기평택),30세~39세,3304 
___송북동(경기평택),40세~49세,4119 
___송북동(경기평택),50세~59세,3958 
___송북동(경기평택),60세~64세,1193 
___송북동(경기평택),65세이상,2622 
___송북동(경기평택),합계,23210 
___신장1동(경기평택),0세~9세,651 
___신장1동(경기평택),10세~19세,490 
___신장1동(경기평택),20세~29세,803 
___신장1동(경기평택),30세~39세,1139 
___신장1동(경기평택),40세~49세,1036 
___신장1동(경기평택),50세~59세,1046 
___신장1동(경기평택),60세~64세,425 
___신장1동(경기평택),65세이상,989 
___신장1동(경기평택),합계,6579 
___신장2동(경기평택),0세~9세,294 
___신장2동(경기평택),10세~19세,493 
___신장2동(경기평택),20세~29세,794 
___신장2동(경기평택),30세~39세,733 
___신장2동(경기평택),40세~49세,1021 
___신장2동(경기평택),50세~59세,1288 
___신장2동(경기평택),60세~64세,509 
___신장2동(경기평택),65세이상,1485 
___신장2동(경기평택),합계,6617 
___신평동(경기평택),0세~9세,1604 
___신평동(경기평택),10세~19세,2592 
___신평동(경기평택),20세~29세,3920 
___신평동(경기평택),30세~39세,3403 
___신평동(경기평택),40세~49세,4288 
___신평동(경기평택),50세~59세,4326 
___신평동(경기평택),60세~64세,1429 
___신평동(경기평택),65세이상,2975 
___신평동(경기평택),합계,24537 
___원평동(경기평택),0세~9세,1041 
___원평동(경기평택),10세~19세,1093 
___원평동(경기평택),20세~29세,1833 
___원평동(경기평택),30세~39세,2002 
___원평동(경기평택),40세~49세,2030 
___원평동(경기평택),50세~59세,2102 
___원평동(경기평택),60세~64세,754 
___원평동(경기평택),65세이상,1745 
___원평동(경기평택),합계,12600 
___통복동(경기평택),0세~9세,191 
___통복동(경기평택),10세~19세,373 
___통복동(경기평택),20세~29세,553 
___통복동(경기평택),30세~39세,461 
___통복동(경기평택),40세~49세,750 
___통복동(경기평택),50세~59세,891 
___통복동(경기평택),60세~64세,356 
___통복동(경기평택),65세이상,877 
___통복동(경기평택),합계,4452 
___비전1동(경기평택),0세~9세,5380 
___비전1동(경기평택),10세~19세,5717 
___비전1동(경기평택),20세~29세,6078 
___비전1동(경기평택),30세~39세,8385 
___비전1동(경기평택),40세~49세,8643 
___비전1동(경기평택),50세~59세,6153 
