순번,ROUTE_ID,ROUTE_NM,STA_ORDER,STATION_NM,STATION_ID,MOBILE_NO
130001,236000140,8,66,선단1통.대진대학교,236000518,40210
130002,236000140,8,67,삼보주택,236000735,40179
130003,236000140,8,68,선단동행정복지센터,236001078,40493
130004,236000140,8,69,상록할인마트,236000709,40164
130005,236000140,8,70,선단2통마을회관앞,236000711,40155
130006,236000140,8,71,선단초등학교,236000713,40151
130007,236000140,8,72,선단5통마을회관앞,236001390,40782
130008,236000140,8,73,선단동체육센터,236001385,40745
130009,236000140,8,74,대진대.학사마을입구,236001386,40746
130010,236000140,8,75,선단3통,236001387,40747
130011,236000141,3,1,일동초교.일동도서관,236000552,41543
130012,236000141,3,2,일동터미널,236000835,41551
130013,236000141,3,3,일동중.고등학교,236000545,41555
130014,236000141,3,4,일동면사무소.농협,236000543,41559
130015,236000141,3,5,화대리.윗갈기길,236001297,40761
130016,236000141,3,6,화대2리.제일온천,236000542,41574
130017,236000141,3,7,운담사거리,236000541,41575
130018,236000141,3,8,용암천,236000540,41571
130019,236000141,3,9,수입2리.중갈기,236000014,41565
130020,236000141,3,10,수입2리.곰냄이,236000013,41563
130021,236000141,3,11,수입3리.아랫갈기,236000012,41549
130022,236000141,3,12,일동사이판,236000011,41531
130023,236000141,3,13,수입4리.와룡교,236000017,41509
130024,236000141,3,14,수입4리.와룡교,236000034,41508
130025,236000141,3,15,38교,236000033,41524
130026,236000141,3,16,노곡2리.노곡사거리,236000030,41579
130027,236000141,3,17,노곡초교,236000029,41582
130028,236000141,3,18,노곡3리.신병교육대,236000028,41587
130029,236000141,3,19,노곡5리.갈말,236000027,41594
130030,236000141,3,20,노곡리,236000026,41596
130031,236000141,3,21,노곡4리.군단앞,236000083,41601
130032,236000141,3,22,장암2리.매바위,236000082,41602
130033,236000141,3,23,이동,236000151,41608
130034,236000141,3,24,장암5리.한빛아파트,236000150,41622
130035,236000141,3,25,도평4리.풍차가든,236000149,41625
130036,236000141,3,26,심뱅이골,236000148,41626
130037,236000141,3,27,도평리,236000817,40396
130038,236000141,3,28,도평삼거리,236000816,41632
130039,236000141,3,29,백운동(백운계곡),236000896,40359
130040,236000141,3,30,백운종점,236000897,40467
130041,236000141,3,31,백운동(백운계곡),236000894,40340
130042,236000141,3,32,도평삼거리,236000815,41633
130043,236000141,3,33,도평리,236000784,40527
130044,236000141,3,34,심뱅이골,236000071,41627
130045,236000141,3,35,도평4리.풍차가든,236000072,41624
130046,236000141,3,36,장암5리.한빛아파트,236000073,41623
130047,236000141,3,37,장암아이파크,236001389,40752
130048,236000141,3,38,장암2리.매바위,236000081,41603
130049,236000141,3,39,노곡4리.군단앞,236000080,41600
130050,236000141,3,40,노곡리,236000025,41595
130051,236000141,3,41,노곡5리.갈말,236000024,41593
130052,236000141,3,42,노곡3리.신병교육대,236000023,41590
130053,236000141,3,43,노곡초교,236000022,41583
130054,236000141,3,44,노곡2리.노곡사거리,236000021,41578
130055,236000141,3,45,노곡2리.새동네아파트,236000020,41557
130056,236000141,3,46,38교,236000018,41527
130057,236000141,3,47,수입4리.와룡교,236000017,41509
130058,236000141,3,48,수입4리.와룡교,236000034,41508
130059,236000141,3,49,일동사이판,236000010,41530
130060,236000141,3,50,수입3리.아랫갈기,236000009,41548
130061,236000141,3,51,수입2리.곰냄이,236000008,41562
130062,236000141,3,52,수입2리.중갈기,236000007,41564
130063,236000141,3,53,용암천,236000539,41572
130064,236000141,3,54,운담사거리,236000538,40438
130065,236000141,3,55,화대2리.제일온천,236000536,41573
130066,236000141,3,56,화대리.윗갈기길,236000965,40491
130067,236000141,3,57,일동면사무소.농협,236000537,41558
130068,236000141,3,58,일동중.고등학교,236000544,41554
130069,236000145,68,1,영화마을,236000463,40425
130070,236000145,68,2,원일아파트.송우5리,236000525,40093
130071,236000145,68,3,송우6리.시장,236000739,40101
130072,236000145,68,4,송우시장사거리.우리병원,236000985,40106
130073,236000145,68,5,송우리터미널,236000523,40117
130074,236000145,68,6,주공2단지석향마을,236000522,40127
130075,236000145,68,7,하송우리,236000738,40512
130076,236000145,68,8,시우동미곡처리장,236000462,41035
130077,236000145,68,9,벌말,236001199,40721
130078,236000145,68,10,가산슈퍼,236001198,40720
130079,236000145,68,11,너베기입구,236001214,40673
130080,236000145,68,12,K마트,236000970,41076
130081,236000145,68,13,마산1리.돌목개,236000907,41090
130082,236000145,68,14,마산3리,236000458,40426
130083,236000145,68,15,가산사거리,236000457,41151
130084,236000145,68,16,마전리.은하수관광,236000456,41176
130085,236000145,68,17,황새목.낚시터,236000455,41196
130086,236000145,68,18,유교2리.청량동,236000237,41190
130087,236000145,68,19,좌의2리,236000236,41213
130088,236000145,68,20,좌의1리,236000235,41219
130089,236000145,68,21,좌의1리.메기안,236001051,41243
130090,236000145,68,22,새마을낚시터,236001053,41272
130091,236000145,68,23,고려통상,236001055,41275
130092,236000145,68,24,군내어린이집,236001057,41276
130093,236000145,68,25,월드CNC산업,236001059,41278
130094,236000145,68,26,좌의2리마을회관앞,236001061,41292
130095,236000145,68,27,좌의2리,236000198,41301
130096,236000145,68,28,화엄사입구,236000197,41326
130097,236000145,68,29,명산리,236000196,41322
130098,236000145,68,30,명산낚시터,236001063,41315
130099,236000145,68,31,좌의리,236001065,41316
130100,236000145,68,32,청성초교,236000203,41321
130101,236000145,68,33,청성초교후문,236000202,41330
130102,236000145,68,34,직두삼거리,236000191,41345
130103,236000145,68,35,풍류산입구.풍훈마을,236000190,41319
130104,236000145,68,36,군내우체국,236000189,41293
130105,236000145,68,37,군내면사무소,236000188,41282
130106,236000145,68,38,청성오거리,236000187,41240
130107,236000145,68,39,청성오거리,236001096,41224
130108,236000145,68,40,포천일고등학교,236000996,41214
130109,236000145,68,41,포천소방서,236000270,41194
130110,236000145,68,42,포천시청앞,236000308,40259
130111,236000145,68,43,의정부약국,236000219,40264
130112,236000145,68,44,포천일고등학교,236001112,40604
130113,236000145,68,45,청성오거리,236000218,41239
130114,236000145,68,46,군내면사무소,236000217,41281
130115,236000145,68,47,군내우체국,236000216,41294
130116,236000145,68,48,풍류산입구.풍훈마을,236000215,41318
130117,236000145,68,49,직두삼거리,236000214,41348
130118,236000145,68,50,청성초교후문,236000209,41329
130119,236000145,68,51,청성초교,236000208,41320
130120,236000145,68,52,명산삼거리,236001066,40478
130121,236000145,68,53,명산리입구,236001064,41317
130122,236000145,68,54,명산리,236000201,40583
130123,236000145,68,55,명산리,236000200,40495
130124,236000145,68,56,좌의2리,236000199,41303
130125,236000145,68,57,좌의2리마을회관,236001062,40586
130126,236000145,68,58,월드CNC산업,236001060,40530
130127,236000145,68,59,군내어린이집,236001058,40585
130128,236000145,68,60,국일테크,236001056,40584
130129,236000145,68,61,새마을낚시터,236001054,40479
130130,236000145,68,62,좌의1리,236001052,41241
130131,236000145,68,63,좌의1리,236000228,41220
130132,236000145,68,64,좌의2리,236000227,41210
130133,236000145,68,65,유교2리.청량동,236000226,41188
130134,236000145,68,66,마전리.은하수관광,236000453,41177
130135,236000145,68,67,대진자동차학원,236000950,41172
130136,236000145,68,68,가산사거리,236001097,41149
130137,236000145,68,69,마산1리,236000451,40427
130138,236000145,68,70,마산1리.돌목개,236000902,41089
130139,236000145,68,71,추곡슈퍼,236001034,40366
130140,236000145,68,72,시우동미곡처리장,236001365,40738
130141,236000145,68,73,하송우리,236000515,40150
130142,236000145,68,74,주공2단지석향마을,236000514,40131
130143,236000145,68,75,송우리터미널,236000513,40115
130144,236000145,68,76,송우시장사거리.우리병원,236000512,40107
130145,236000145,68,77,송우6리시장앞,236000511,40102
130146,236000145,68,78,원일아파트.송우5리,236000510,40092
130147,236000145,68,79,홈플러스,236000509,40087
130148,236000145,68,80,영화아파트,236000954,40488
130149,236000146,67,1,영화마을,236000463,40425
130150,236000146,67,2,홈플러스,236000940,40476
130151,236000146,67,3,원일아파트.송우5리,236000525,40093
130152,236000146,67,4,송우6리.시장,236000739,40101
130153,236000146,67,5,송우시장사거리.우리병원,236000985,40106
130154,236000146,67,6,송우리터미널,236000523,40117
130155,236000146,67,7,주공2단지석향마을,236000522,40127
130156,236000146,67,8,하송우리,236001072,40153
130157,236000146,67,9,설운3통.여단앞,236000521,40167
130158,236000146,67,10,선단4통.장승거리,236000520,40184
130159,236000146,67,11,선단1통.대진대학교,236000519,40207
130160,236000146,67,12,선단3통.할렐루야기도원,236000313,40224
130161,236000146,67,13,자작2통,236000312,40230
130162,236000146,67,14,자작2통군단앞,236000311,40231
130163,236000146,67,15,어룡3통,236000310,40234
130164,236000146,67,16,어룡2통,236000736,40235
130165,236000146,67,17,어룡1통,236000309,40239
130166,236000146,67,18,포천고등학교앞,236000737,40247
130167,236000146,67,19,신읍11통시청별관,236000853,40255
130168,236000146,67,20,포천시청앞,236000308,40259
130169,236000146,67,21,신읍7통.기업은행앞,236000858,40270
130170,236000146,67,22,포천농협.하나로마트,236001235,40693
130171,236000146,67,23,골든아파트앞,236000305,41223
130172,236000146,67,24,가채1리오장동입구,236000304,41248
130173,236000146,67,25,가채2리.승방동,236000303,41262
130174,236000146,67,26,포천축협사업소,236001111,41641
130175,236000146,67,27,가채2리마을회관앞,236000302,41277
130176,236000146,67,28,가채2리.K마트앞,236000323,41302
130177,236000146,67,29,농업기술센타.틀못이,236000322,41308
130178,236000146,67,30,신북면행정복지센터.포천아트밸리,236000440,41339
130179,236000146,67,31,신포천아파트,236000840,40525
130180,236000146,67,32,신평2리.요꼴사거리,236000810,41375
130181,236000146,67,33,신평2리,236001262,41667
130182,236000146,67,34,삼진정공,236001255,41666
130183,236000146,67,35,장자마을삼거리,236001257,41671
130184,236000146,67,36,장자마을회관,236001256,41668
130185,236000146,67,37,장자마을삼거리,236001258,41670
130186,236000146,67,38,신평2리,236001261,41669
130187,236000146,67,39,신평2리.요꼴사거리,236000429,41373
130188,236000146,67,40,윤중.신포천아파트,236000428,41353
130189,236000146,67,41,신북면행정복지센터.포천아트밸리,236000427,41338
130190,236000146,67,42,농업기술센타,236000325,41306
130191,236000146,67,43,가채2리,236000324,40593
130192,236000146,67,44,가채2리마을회관앞,236000301,41274
130193,236000146,67,45,포천축협사업소,236001110,41640
130194,236000146,67,46,가채2리.승방동,236000300,41261
130195,236000146,67,47,가채1리오장동입구,236000299,41247
130196,236000146,67,48,골든아파트앞,236000298,41221
130197,236000146,67,49,포천농협.하나로마트,236001234,40692
130198,236000146,67,50,신읍7통.기업은행앞,236000297,40269
130199,236000146,67,51,포천시청앞,236000296,40258
130200,236000146,67,52,신읍11통시청별관,236000295,40254
130201,236000146,67,53,포천고등학교앞,236000294,40243
130202,236000146,67,54,어룡1통,236000293,40238
130203,236000146,67,55,어룡2통,236000292,40236
130204,236000146,67,56,어룡3통,236000291,40233
130205,236000146,67,57,자작2통군단앞,236000290,40232
130206,236000146,67,58,자작2통,236000681,40229
130207,236000146,67,59,선단3통.할렐루야기도원,236000289,40220
130208,236000146,67,60,선단1통.대진대학교,236000518,40210
130209,236000146,67,61,선단4통.장승거리,236000517,40181
130210,236000146,67,62,설운3통.여단앞,236000516,40166
130211,236000146,67,63,하송우리,236000515,40150
130212,236000146,67,64,주공2단지석향마을,236000514,40131
130213,236000146,67,65,송우리터미널,236000513,40115
130214,236000146,67,66,송우시장사거리.우리병원,236000512,40107
130215,236000146,67,67,송우6리시장앞,236000511,40102
130216,236000146,67,68,원일아파트.송우5리,236000510,40092
130217,236000146,67,69,홈플러스,236000509,40087
130218,236000146,67,70,영화아파트,236000954,40488
130219,236000149,3200,1,반월아트홀.여성회관,236000167,41242
130220,236000149,3200,2,하성북리(경유),277102571,
130221,236000149,3200,3,신읍7통.포천축협입구,236000630,40588
130222,236000149,3200,4,포천동주민센터입구,236000181,40589
130223,236000149,3200,5,유한아파트입구,236000179,40369
130224,236000149,3200,6,극동.주공아파트,236001208,40660
130225,236000149,3200,7,어룡2통,236000292,40236
130226,236000149,3200,8,자작2통군단앞,236000290,40232
130227,236000149,3200,9,선단1통.대진대학교,236000518,40210
130228,236000149,3200,10,설운3통.여단앞,236000516,40166
130229,236000149,3200,11,주공2단지석향마을,236000514,40131
130230,236000149,3200,12,송우리터미널,236000513,40115
130231,236000149,3200,13,송우6리시장앞,236000511,40102
130232,236000149,3200,14,홈플러스,236000509,40087
130233,236000149,3200,15,윗용상골.대방아파트,236000618,40051
130234,236000149,3200,16,이동교3리.무봉리,236000723,40012
130235,236000149,3200,17,이동교5리.축석검문소,236000578,40001
130236,236000149,3200,18,의정부성모병원,207000174,08242
130237,236000149,3200,19,세아아파트.거성아파트.벽산아파트,207000172,08228
130238,236000149,3200,20,금오초등학교,207000171,08211
130239,236000149,3200,21,꽃동네입구,207000169,08197
130240,236000149,3200,22,의정부시외버스터미널,207000190,08153
130241,236000149,3200,23,신동초.신동아파밀리에아파트앞,207000085,08171
130242,236000149,3200,24,장암주공5단지앞,207000007,08190
130243,236000149,3200,25,장암IC(경유),277103759,
130244,236000149,3200,26,장암역삼거리(경유),277103573,
130245,236000149,3200,27,수락산역,110000097,79004
130246,236000149,3200,28,마들역,110000672,79158
130247,236000149,3200,29,도봉면허시험장,110000086,79018
130248,236000149,3200,30,상계주공3단지,110000144,79073
130249,236000149,3200,31,상계주공1단지,110000146,79069
130250,236000149,3200,32,노원구민회관,110000266,79067
130251,236000149,3200,33,하계역,110000346,79066
130252,236000149,3200,34,하계우성아파트,110000353,79064
130253,236000149,3200,35,하계극동아파트,110000351,79063
130254,236000149,3200,36,휘경미소지움아파트,105000477,
130255,236000149,3200,37,삼육서울병원(중),105000011,
130256,236000149,3200,38,시조사삼거리(중),105000013,
130257,236000149,3200,39,떡전교사거리.동대문노인복지관(중),105000014,
130258,236000149,3200,40,청량리미주아파트.동대문세무서(중),105000478,
130259,236000149,3200,41,청량리역환승센터(4번승강장),105000015,
130260,236000149,3200,42,청량리.청과물도매시장(중),105000480,
130261,236000149,3200,43,제기역약령시장,105000022,75057
130262,236000149,3200,44,동대문중앙새마을금고,105000201,75003
130263,236000149,3200,45,현대코아,105000199,
130264,236000149,3200,46,청량리역환승센터(2번승강장),105000447,
130265,236000149,3200,47,청량리미주상가앞,105000028,
130266,236000149,3200,48,서울성심병원,105000030,75015
130267,236000149,3200,49,휘경동입구,105000033,75019
130268,236000149,3200,50,삼육서울병원(중),105000012,
130269,236000149,3200,51,중랑교(중),105000010,
130270,236000149,3200,52,하계시영아파트,110000352,79083
130271,236000149,3200,53,하계역,110000315,79065
130272,236000149,3200,54,서울시립북서울미술관,110000273,79091
130273,236000149,3200,55,백병원,110000157,79089
130274,236000149,3200,56,상계주공6단지,110000155,79156
130275,236000149,3200,57,도봉면허시험장,110000085,79019
130276,236000149,3200,58,마들역,110000664,79157
130277,236000149,3200,59,수락산역3번출구,110000096,79005
130278,236000149,3200,60,장암역삼거리(경유),277103574,
130279,236000149,3200,61,장암IC(경유),277103760,
130280,236000149,3200,62,장암주공5단지.한국.풍림아파트,207000015,08191
130281,236000149,3200,63,추동아파트,207000082,08172
130282,236000149,3200,64,의정부시외버스터미널,207000187,08169
130283,236000149,3200,65,꽃동네입구,207000186,08196
130284,236000149,3200,66,금오초등학교,207000184,08212
130285,236000149,3200,67,세아아파트.거성아파트.벽산아파트,207000183,08227
130286,236000149,3200,68,의정부성모병원,207000181,08241
130287,236000149,3200,69,이동교5리.축석검문소,236000581,40003
130288,236000149,3200,70,이동교3리.무봉리,236000624,40014
130289,236000149,3200,71,이동교4리.대방아파트,236000619,40054
130290,236000149,3200,72,원일아파트.송우5리,236000525,40093
130291,236000149,3200,73,송우시장사거리.우리병원,236000985,40106
130292,236000149,3200,74,송우리터미널,236000523,40117
130293,236000149,3200,75,주공2단지석향마을,236000522,40127
130294,236000149,3200,76,설운3통.여단앞,236000521,40167
130295,236000149,3200,77,선단1통.대진대학교,236000519,40207
130296,236000149,3200,78,자작2통군단앞,236000311,40231
130297,236000149,3200,79,어룡2통,236000736,40235
130298,236000149,3200,80,극동.주공아파트,236001207,40658
130299,236000149,3200,81,유한아파트입구,236000176,40242
130300,236000149,3200,82,포천동주민센터입구,236000174,40249
130301,236000149,3200,83,포천시보건소,236000284,40257
130302,236000149,3200,84,신읍7통.포천축협입구,236000631,40587
130303,236000153,9,1,초가팔2리마을회관,236001295,40137
130304,236000153,9,2,초가팔리(경유),277102529,
130305,236000153,9,3,갈월중학교입구,236000806,40135
130306,236000153,9,4,상운아파트,236000471,40113
130307,236000153,9,5,소홀농협경제사업소,236001360,41733
130308,236000153,9,6,소흘읍사무소앞,236001291,40432
130309,236000153,9,7,대경중학교앞,236000470,40424
130310,236000153,9,8,고운마을,236000469,40509
130311,236000153,9,9,포천세무서,236000501,40083
130312,236000153,9,10,하나로마트,236001129,41637
130313,236000153,9,11,송우시장사거리.우리병원,236000985,40106
130314,236000153,9,12,송우웨딩홀,236000757,40458
130315,236000153,9,13,갈월중학교,236000782,40147
130316,236000153,9,14,포천슈퍼,236001006,40158
130317,236000153,9,15,이가팔2리,236001007,40163
130318,236000153,9,16,이가팔리대들보주유소,236000759,40168
130319,236000153,9,17,마트사거리,236000779,40170
130320,236000153,9,18,정교리,236000991,40212
130321,236000153,9,19,정교주유소.정교리,236001018,41059
130322,236000153,9,20,제이투앞,236001019,40486
130323,236000153,9,21,정교2리,236000990,41068
130324,236000153,9,22,밤나무슈퍼,236000977,41074
130325,236000153,9,23,정교리.용화슈퍼,236000995,41092
130326,236000153,9,24,훈이네슈퍼.정교리,236001020,41101
130327,236000153,9,25,궁말슈퍼.금현2리,236001021,41130
130328,236000153,9,26,금현2리,236000477,41143
130329,236000153,9,27,궁말.금현2리,236000482,41155
130330,236000153,9,28,금현3리.대대울,236000475,41183
130331,236000153,9,29,효성섬유,236001024,40485
130332,236000153,9,30,싱글니트,236001026,40532
130333,236000153,9,31,너베기슈퍼,236001028,41142
130334,236000153,9,32,금현1리마을회관,236001030,40598
130335,236000153,9,33,금현2리회관,236001032,41094
130336,236000153,9,34,너베기입구,236001214,40673
130337,236000153,9,35,K마트,236000970,41076
130338,236000153,9,36,마산1리.돌목개,236000907,41090
130339,236000153,9,37,가산면행정복지센터,236001321,40708
130340,236000153,9,38,가산면행정복지센터,236001322,40731
130341,236000153,9,39,마산1리.돌목개,236000902,41089
130342,236000153,9,40,너베기입구,236001033,40564
130343,236000153,9,41,금현1리마을회관,236001031,41114
130344,236000153,9,42,너베기슈퍼,236001029,41141
130345,236000153,9,43,싱글니트,236001027,40483
130346,236000153,9,44,효성섬유,236001025,40484
130347,236000153,9,45,금현3리.대대울,236000483,41184
130348,236000153,9,46,궁말.금현2리,236000777,41156
130349,236000153,9,47,금현2리,236000473,41144
130350,236000153,9,48,궁말슈퍼.금현2리,236000974,41132
130351,236000153,9,49,정교리,236000975,41098
130352,236000153,9,50,정교2리,236000778,41093
130353,236000153,9,51,밤나무슈퍼,236000976,41075
130354,236000153,9,52,정교리,236000993,41069
130355,236000153,9,53,섯다리.삼진기업,236000978,41064
130356,236000153,9,54,정교주유소.정교리,236000979,41058
130357,236000153,9,55,정교리,236000480,41042
130358,236000153,9,56,이가팔2리.고모리입구,236000780,40171
130359,236000153,9,57,이가팔리대들보주유소,236000506,40169
130360,236000153,9,58,방아다리,236001008,40165
130361,236000153,9,59,포천슈퍼.이가팔리,236000992,40159
130362,236000153,9,60,갈월중학교,236000781,40152
130363,236000153,9,61,KT송우고객센터,236000758,40145
130364,236000153,9,62,송우시장사거리.우리병원,236000512,40107
130365,236000153,9,63,송우초교,236001132,41634
130366,236000153,9,64,포천세무서,236000505,40082
130367,236000153,9,65,솔모루공원,236000774,40528
130368,236000153,9,66,영화마을,236000463,40425
130369,236000153,9,67,홈플러스,236000509,40087
130370,236000153,9,68,소흘읍사무소앞,236001292,40463
130371,236000153,9,69,소홀농협경제사업소,236001361,41734
130372,236000153,9,70,상운아파트,236000790,40114
130373,236000153,9,71,초가팔리,236000881,40146
130374,236000153,9,72,초가팔2리마을회관,236001294,40130
130375,236000154,10,1,산정호수상동주차장,236001143,40621
130376,236000154,10,2,평생교육연수원(경유),277102604,
130377,236000154,10,3,평화교육연수원(경유),277102580,
130378,236000154,10,4,평화교육연수원,236000104,41569
130379,236000154,10,5,산정리.우물목,236000103,41561
130380,236000154,10,6,산정호수.하동주차장,236000859,41540
130381,236000154,10,7,한화콘도,236000862,41535
130382,236000154,10,8,몽베르컨트리클럽,236001146,40619
130383,236000154,10,9,산정리3교다리,236000100,41515
130384,236000154,10,10,2교다리.연대본부,236000099,41511
130385,236000154,10,11,1교다리양어장,236000098,41504
130386,236000154,10,12,산정리.메이필드,236001148,40627
