순번,STATION_NM,GPS_X,GPS_Y,MAP_X,MAP_Y,STATION_ID,MOBILE_NO
7758,도암초교,12726.502,3719.159,239151.7411,424544.0604,230000295,32757
7759,도암초교,12726.498,3719.169,239145.7409,424561.0602,230000294,32758
7760,당거3리(길마원),12700.454,3659.371,200675.9126,387852.3372,214001089,48159
7761,하다4거리,12731.635,3720.387,246722.6452,426853.1662,237000865,42717
7762,도봉1리,12727.274,3718.701,240296.746,423702.0856,230000283,32759
7763,경사1리,12727.244,3720.058,240243.8376,426213.4406,230000280,32760
7764,경사2리입구,12727.39,3720.106,240455.7024,426302.068,230000277,32762
7765,신근2리광고판,12733.328,3718.579,249242.6805,423524.2331,237000864,42718
7766,도립리회관앞,12727.829,3720.407,241104.2866,426861.7703,230000274,32764
7767,신촌,12701.022,3659.365,201518.83,387840.998,214001086,48160
7768,신풍농장,12730.257,3721.348,244677.632,428621.119,237000857,42720
7769,외사사거리,12729.59,3720.622,243702.4348,427272.7127,237000856,42712
7770,관음사앞,12728.915,3726.034,242654.8428,437278.2513,240000371,45755
7771,관음사앞,12728.918,3726.029,242659.2016,437270.7201,240000348,45756
7772,상품.전원주택,12726.956,3723.417,239788.8923,432424.8055,237000846,42713
7773,삼합리진골,12725.802,3722.712,238087.6423,431109.9919,234000660,38683
7774,광주하남교육청,12715.49,3725.357,222854.8723,435948.6397,234000467,38681
7775,산수유마을,12728.037,3720.455,241407.6845,426950.0785,230000562,32729
7776,송말3리,12729.254,3720.643,243206.0165,427309.7635,230000560,32730
7777,도평리,12723.126,3803.428,233832.1028,506414.1067,236000817,40396
7778,신봉초.솔모루성당,12708.271,3749.884,212138.7712,481298.175,236000809,40074
7779,적암아파트,12700.721,3758.821,201056.8501,497820.8372,238000010,43109
7780,7525-2포대,12700.439,3758.007,200643.8784,496313.8434,238000009,43098
7781,늘목2리,12700.407,3757.79,200600.1657,495915.1524,238000008,43089
7782,밀알기도원,12700.45,3757.608,200658.8904,495573.85,238000007,43095
7783,간파리공단,12700.182,3757.007,200266.912,494462.853,238000005,43076
7784,간파리교회,12700.18,3756.836,200264.9172,494147.8557,238000004,43078
7785,순박골포대앞,12700.203,3756.715,200297.9206,493922.8582,238000003,43082
7786,순박골.늘목1리,12700.181,3756.492,200264.9277,493510.8612,238000002,43077
7787,신탄리역,12708.306,3812.777,212128.6464,523648.6835,238000520,43396
7788,부대앞,12717.614,3752.012,225824.8496,485259.3528,239000628,44009
7789,태봉리,12719.769,3749.213,229012.9089,480095.4485,239000105,44012
7790,율길초교,12717.29,3750.3,225370.3699,482096.7837,239000109,44002
7791,연하리,12721.354,3748.326,231345.8624,478466.6533,239000002,44019
7792,보람유치원,12721.919,3747.802,232179.0159,477499.9697,239000193,44021
7793,항사리,12721.995,3747.565,232293.1877,477062.8262,239000192,44023
7794,함명학원,12723.066,3746.121,233871.9638,474386.576,239000190,44043
7795,마장초교,12730.966,3751.503,245419.703,484409.6862,239000434,44152
7796,노루목고개,12731.282,3752.033,245879.645,485393.1554,239000435,44154
7797,이곡리,12731.394,3752.431,246040.3416,486130.2448,239000436,44157
7798,탄약고,12732.381,3752.571,247486.043,486396.8751,239000437,44166
7799,목동초등학교,12732.775,3752.801,248060.3837,486825.564,239000438,44168
7800,탐선부락,12728.76,3740.592,242288.927,464207.3942,239000380,44120
7801,솔고개,12728.218,3740.629,241492.07,464270.7845,239000379,44119
7802,회곡리,12726.964,3742.465,239629.0287,467659.7263,239000518,44105
7803,바하마,12725.951,3743.165,238139.0194,468944.6911,239000250,44091
7804,뽀루봉,12725.668,3743.269,237715.0197,469133.6826,239000616,44084
7805,발전소,12725.3,3743.361,237174.0212,469306.6722,239000249,44079
7806,발전소,12725.333,3743.363,237223.0209,469300.6731,239000619,44081
7807,뽀루봉,12725.67,3743.262,237722.0199,469118.6828,239000253,44085
7808,구암동산응암마을,12722.374,3740.133,232902.8186,463315.5642,222000930,23680
7809,대성리,12722.67,3740.83,233334.2416,464606.8476,239000429,44032
7810,관터마을,12722.837,3741.41,233573.1103,465675.6422,239000219,44039
7811,대성리역,12722.703,3741.031,233374.1235,464975.6446,239000218,44037
7812,용문사,12735.018,3732.716,251581.3739,449689.8415,240000628,45204
7813,오촌리다리앞,12735.404,3732.243,252154.6375,448818.6758,240000627,45210
7814,신점2리마을회관,12735.613,3732.133,252464.5324,448617.456,240000624,45221
7815,오촌리,12735.724,3732.047,252628.7374,448458.6333,240000623,45225
7816,연수2리장수마을입구,12733.943,3730.454,250023.241,445495.8111,240000517,45180
7817,서대마을,12722.682,3746.315,233300.9623,474755.5635,239000203,44034
7818,임초리,12722.313,3746.439,232767.4814,474981.8498,239000202,44028
7819,보람유치원,12721.925,3747.809,232187.9731,477513.1599,239000200,44022
7820,꿈에그린아파트,12721.18,3748.541,231088.8281,478863.2189,239000001,44018
7821,현리,12720.912,3749.094,230693.8986,479885.4781,239000522,44014
7822,탄약고,12732.38,3752.576,247484.5359,486405.685,239000285,44165
7823,부대후문,12732.062,3752.6,247017.5339,486448.0477,239000464,44161
7824,정미소,12731.69,3752.589,246472.5911,486424.033,239000095,44159
7825,이곡리,12731.387,3752.434,246030.2125,486135.0098,239000094,44156
7826,덕둔1리.신북온천,12706.084,3758.378,208913.0629,497007.7502,236000282,41005
7827,덕둔1리,12706.899,3757.992,210108.7702,496294.2154,236000281,41007
7828,덕둔2리목장,12707.018,3757.616,210282.8514,495598.7734,236000280,41009
7829,사기점,12715.496,3757.332,222702.8258,495098.9549,236000384,41423
7830,운담사거리,12719.706,3758.156,228859.6351,496641.308,236000541,41575
7831,수입2리.곰냄이,12719.324,3759.091,228290.6109,498374.2839,236000013,41563
7832,일동사이판,12718.802,3759.781,227524.5962,499641.2605,236000011,41531
7833,화현면사무소앞,12717.24,3754.021,225276.7925,488974.3127,236000376,40318
